INFO   | jvm 1    | main    | 2019/03/22 17:55:28.349 | 	at org.apache.catalina.core.ContainerBase$StartChild.call(ContainerBase.java:1411)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.349 | 	at java.util.concurrent.FutureTask.run(FutureTask.java:266)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.349 | 	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1142)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.349 | 	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:617)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.349 | 	at java.lang.Thread.run(Thread.java:745)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.349 | Caused by: java.nio.file.AccessDeniedException: /opt/CXCOMM181100P_1-70004085/hybris/data/shutdown.token
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.349 | 	at sun.nio.fs.UnixException.translateToIOException(UnixException.java:84)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.350 | 	at sun.nio.fs.UnixException.rethrowAsIOException(UnixException.java:102)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.350 | 	at sun.nio.fs.UnixException.rethrowAsIOException(UnixException.java:107)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.350 | 	at sun.nio.fs.UnixFileSystemProvider.newByteChannel(UnixFileSystemProvider.java:214)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.350 | 	at java.nio.file.spi.FileSystemProvider.newOutputStream(FileSystemProvider.java:434)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.350 | 	at java.nio.file.Files.newOutputStream(Files.java:216)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.350 | 	at java.nio.file.Files.write(Files.java:3292)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.350 | 	at de.hybris.platform.core.internal.ShutdownTokenFileCreator.writeShutdownTokenFile(ShutdownTokenFileCreator.java:59)
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.350 | 	... 16 more
INFO   | jvm 1    | main    | 2019/03/22 17:55:28.350 | 
